type fixed: ,Resolution date
0,1/2008
0,2/2008
0,3/2008
0,4/2008
0,5/2008
15,6/2008
3,7/2008
0,8/2008
1,9/2008
1,10/2008
0,11/2008
2,12/2008
0,1/2009
0,2/2009
0,3/2009
1,4/2009
0,5/2009
0,6/2009
6,7/2009
3,8/2009
2,9/2009
0,10/2009
0,11/2009
2,12/2009
0,1/2010
2,2/2010
0,3/2010
0,4/2010
6,5/2010
0,6/2010
3,7/2010
0,8/2010
0,9/2010
2,10/2010
0,11/2010
0,12/2010
0,1/2011
0,2/2011
0,3/2011
0,4/2011
1,5/2011
0,6/2011
0,7/2011
0,8/2011
2,9/2011
2,10/2011
5,11/2011
1,12/2011
2,1/2012
0,2/2012
1,3/2012
1,4/2012
1,5/2012
1,6/2012
0,7/2012
2,8/2012
1,9/2012
1,10/2012
0,11/2012
0,12/2012
1,1/2013
1,2/2013
0,3/2013
1,4/2013
1,5/2013
1,6/2013
0,7/2013
0,8/2013
1,9/2013
0,10/2013
2,11/2013
1,12/2013
1,1/2014
0,2/2014
5,3/2014
1,4/2014
0,5/2014
0,6/2014
0,7/2014
0,8/2014
1,9/2014
0,10/2014
1,11/2014
0,12/2014
1,1/2015
0,2/2015
8,3/2015
5,4/2015
20,5/2015
5,6/2015
4,7/2015
2,8/2015
0,9/2015
0,10/2015
0,11/2015
0,12/2015
0,1/2016
19,2/2016
1,3/2016
3,4/2016
5,5/2016
0,6/2016
1,7/2016
2,8/2016
9,9/2016
5,10/2016
1,11/2016
1,12/2016
4,1/2017
2,2/2017
0,3/2017
3,4/2017
1,5/2017
4,6/2017
0,7/2017
1,8/2017
1,9/2017
3,10/2017
1,11/2017
6,12/2017
1,1/2018
0,2/2018
3,3/2018
0,4/2018
12,5/2018
3,6/2018
1,7/2018
13,8/2018
14,9/2018
3,10/2018
2,11/2018
1,12/2018
3,1/2019
8,2/2019
8,3/2019
2,4/2019
1,5/2019
3,6/2019
2,7/2019
3,8/2019
3,9/2019
4,10/2019
8,11/2019
8,12/2019
4,1/2020
2,2/2020
2,3/2020
2,4/2020
0,5/2020
3,6/2020
1,7/2020
4,8/2020
2,9/2020
5,10/2020
3,11/2020
3,12/2020
3,1/2021
1,2/2021
4,3/2021
13,4/2021
5,5/2021
1,6/2021
1,7/2021
0,8/2021
0,9/2021
0,10/2021
0,11/2021
0,12/2021
